Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Mark Warner (D-Va),"$80,129,151","$214,092,575","$348,056,000",Senate
2,Greg Gianforte (R-Mont),"$189,334,335","$189,334,335","$189,334,335",House
3,Paul Mitchell (R-Mich),"$75,420,142","$179,610,071","$283,800,000",House
4,Vernon Buchanan (R-Fla),"$32,310,120","$157,169,056","$282,027,993",House
5,Chris Collins (R-NY),"$80,834,052","$154,497,026","$228,160,000",House
6,Don Beyer (D-Va),"$10,881,046","$124,901,516","$238,921,986",House
7,Nancy Pelosi (D-Calif),"-$12,825,949","$114,662,521","$242,150,991",House
8,Dianne Feinstein (D-Calif),"$55,027,069","$87,938,540","$120,850,011",Senate
9,Suzan DelBene (D-Wash),"$33,667,084","$79,361,042","$125,055,000",House
10,Fred Upton (R-Mich),"$32,541,229","$78,965,614","$125,390,000",House
11,Roger Williams (R-Texas),"$44,597,061","$66,980,026","$89,362,992",House
12,Kevin Hern (R-Okla),"$34,505,238","$60,979,615","$87,453,992",House
13,Scott Peters (D-Calif),"$42,982,085","$60,456,054","$77,930,023",House
14,Richard W Allen (R-Ga),"$16,905,053","$52,127,525","$87,349,998",House
15,John Hoeven (R-ND),"$19,263,138","$46,689,569","$74,116,000",Senate
16,Joe Kennedy III (D-Mass),"$21,823,213","$46,546,606","$71,270,000",House
17,Ralph Norman (R-SC),"$5,517,147","$43,398,070","$81,278,994",House
18,Johnny Isakson (R-Ga),"$16,510,042","$43,006,021","$69,502,000",Senate
19,James E Risch (R-Idaho),"$15,174,053","$41,807,024","$68,439,996",Senate
20,Ron Johnson (R-Wis),"$14,101,014","$39,233,507","$64,366,000",Senate
21,Mitch McConnell (R-Ky),"$13,445,069","$34,137,534","$54,830,000",Senate
22,Kenny Marchant (R-Texas),"$12,960,026","$33,738,015","$54,516,004",House
23,Buddy Carter (R-Ga),"$13,829,062","$33,232,031","$52,635,000",House
24,Steven Daines (R-Mont),"$13,442,084","$32,863,042","$52,284,000",Senate
25,Lloyd Doggett (D-Texas),"$14,295,056","$29,723,027","$45,150,999",House
26,Brad Schneider (D-Ill),"$16,143,165","$27,159,082","$38,175,000",House
27,Lamar Alexander (R-Tenn),"-$9,491,902","$25,919,044","$61,329,991",Senate
28,David Perdue (R-Ga),"$10,195,194","$25,822,596","$41,449,999",Senate
29,Nita M Lowey (D-NY),"$9,480,019","$24,765,009","$40,050,000",House
30,Jim Sensenbrenner (R-Wis),"$15,921,438","$21,750,911","$27,580,385",House
31,Phil Roe (R-Tenn),"$19,761,620","$20,218,616","$20,675,613",House
32,Richard C Shelby (R-Ala),"$7,590,027","$19,145,013","$30,700,000",Senate
33,John A Yarmuth (D-Ky),"$5,439,096","$17,075,547","$28,711,999",House
34,Jim Cooper (D-Tenn),"$7,654,050","$16,269,525","$24,885,000",House
35,Michael Bennet (D-Colo),"$6,277,029","$15,706,014","$25,135,000",Senate
36,Liz Cheney (R-Wyo),"$5,671,028","$14,710,513","$23,749,999",House
37,Tom Rice (R-SC),"$5,629,020","$14,569,510","$23,510,000",House
38,Bill Foster (D-Ill),"$7,246,036","$14,130,518","$21,015,000",House
39,Dan Newhouse (R-Wash),"$894,040","$13,777,019","$26,659,998",House
40,Carolyn B Maloney (D-NY),"$5,128,059","$12,999,029","$20,869,999",House
41,Earl Blumenauer (D-Ore),"$4,695,086","$12,561,042","$20,426,998",House
42,Mike Kelly (R-Pa),"$2,493,113","$12,419,056","$22,344,999",House
43,Mike Conaway (R-Texas),"$6,302,179","$12,417,089","$18,532,000",House
44,Ralph Abraham (R-La),"$4,890,050","$12,370,524","$19,850,999",House
45,Markwayne Mullin (R-Okla),"$4,012,026","$11,384,012","$18,755,999",House
46,Ann L Wagner (R-Mo),"$6,655,131","$11,055,565","$15,456,000",House
47,Jackie Speier (D-Calif),"$5,980,059","$11,028,529","$16,077,000",House
48,Thom Tillis (R-NC),"$4,002,094","$10,966,045","$17,929,996",Senate
49,Rob Portman (R-Ohio),"$5,725,090","$10,827,545","$15,930,000",Senate
50,Lisa Blunt Rochester (D-Del),"$5,549,092","$10,692,546","$15,836,000",House
51,Anna Eshoo (D-Calif),"$4,806,022","$10,298,011","$15,790,000",House
52,Chris Coons (D-Del),"$6,678,074","$10,126,038","$13,574,003",Senate
53,Chellie Pingree (D-Maine),"$3,586,013","$9,938,006","$16,290,000",House
54,Neal Dunn (R-Fla),"$4,874,067","$9,529,533","$14,184,999",House
